City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Thompson,CA,2022-04-17 13:58:02,55.7435,-97.8558,14.16,67,20,3.44
147,Marsa Matruh,EG,2022-04-17 13:58:02,31.3525,27.2453,84.4,23,100,11.5
148,Anaconda,US,2022-04-17 13:58:03,46.1285,-112.9423,18.46,86,6,5.88
149,San Quintin,MX,2022-04-17 13:58:03,30.4833,-115.95,58.21,86,0,11.39
150,Yellowknife,CA,2022-04-17 13:58:03,62.456,-114.3525,-7.08,77,20,2.3
151,Butaritari,KI,2022-04-17 13:54:05,3.0707,172.7902,81.37,75,25,12.19
152,Albany,US,2022-04-17 13:55:58,42.6001,-73.9662,36.64,67,28,13.0
153,Ranong,TH,2022-04-17 13:58:04,9.9658,98.6348,84.13,83,49,2.24
154,East London,ZA,2022-04-17 13:58:04,-33.0153,27.9116,70.74,73,0,11.5
155,Conakry,GN,2022-04-17 13:58:05,9.538,-13.6773,86.07,58,20,9.22
156,Lorengau,PG,2022-04-17 13:58:05,-2.0226,147.2712,81.55,80,77,5.5
157,Ozark,US,2022-04-17 13:56:34,37.0209,-93.206,43.81,89,100,5.99
158,Hare Bay,CA,2022-04-17 13:58:06,48.8499,-54.0148,47.55,49,100,14.76
159,Kodiak,US,2022-04-17 13:58:06,57.79,-152.4072,35.4,74,99,5.53
