City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Kavieng,PG,83.79,light rain,-2.5744,150.7967,Nusa Island Retreat
229,Alice Town,BS,78.42,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
238,Saint-Leu,RE,76.06,clear sky,-21.15,55.2833,La Caz Oceane
240,Payo,ID,75.09,overcast clouds,-3.7508,103.6372,Mess keban agung
244,Saint George,US,76.24,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
247,Suclayin,PH,81.99,few clouds,15.7568,121.5503,Costa Pacifica
248,Auki,SB,85.77,overcast clouds,-8.7676,160.7034,Auki Motel
250,Gigmoto,PH,80.82,broken clouds,13.7796,124.39,Cj's Travellers Inn
254,Sann,PK,75.11,broken clouds,26.0418,68.1378,New Sindhri Hotel
260,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
263,Cabo Rojo,PR,79.25,broken clouds,18.0866,-67.1457,Hotel Perichi's
267,Bilma,NE,84.29,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
268,Atar,MR,78.06,clear sky,20.5169,-13.0499,Oumou Elghoura
271,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
272,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
273,Biak,ID,80.26,overcast clouds,-0.9131,122.8766,Penginapan Kim
277,Hervey Bay,AU,75.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
278,Tuy Hoa,VN,77.68,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
288,Puerto El Triunfo,SV,83.25,broken clouds,13.2833,-88.55,Hotel Jardin
289,Voh,NC,82.09,clear sky,-20.9667,164.7,Le gîte du Koniambo
290,Codrington,AU,76.91,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
297,Guadalupe Victoria,MX,87.87,clear sky,32.2869,-115.105,Hotel Dial
306,Salvador,SV,78.84,broken clouds,13.8333,-88.9167,Chico's Ranch
310,Padang,ID,77.05,scattered clouds,-0.9492,100.3543,Mercure Padang
316,Matay,EG,78.21,clear sky,28.419,30.7792,Nag Aespen
318,Poso,ID,80.35,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
321,Balabac,PH,83.16,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
330,Rajula,IN,78.01,clear sky,21.05,71.4333,Lion Lords Inn Rajula
332,Muzaffargarh,PK,86.02,clear sky,30.0754,71.1921,Aghosh hotel and restaurant
335,Telica,NI,80.01,clear sky,12.522,-86.8594,Casa de Ivania Gómez
337,Trairi,BR,77.47,overcast clouds,-3.2778,-39.2689,janelas do mar
338,Isangel,VU,86.11,scattered clouds,-19.55,169.2667,Tanna Lodge
339,Porto Novo,BJ,80.1,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
341,Tarpon Springs,US,79.14,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
342,Tomatlan,MX,80.49,overcast clouds,19.9333,-105.25,El Salvial
345,Atambua,ID,81.46,broken clouds,-9.1061,124.8925,Kost Alfa Flat
346,Akyab,MM,81.99,few clouds,20.15,92.9,Hotel Memory
352,Bubaque,GW,75.18,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
358,Touho,NC,78.69,clear sky,-20.7833,165.2333,Auberge Timay Evasion
359,Dwarka,IN,79.41,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
360,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
361,Soyo,AO,77.54,overcast clouds,-6.1349,12.3689,Hotel Mpampa
364,Chilmari,BD,76.89,few clouds,25.5559,89.6715,Naimul islam Badhon hotel
365,Banikoara,BJ,80.98,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
367,Banda Aceh,ID,81.75,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
382,Grand Gaube,MU,77.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
383,Omboue,GA,77.43,overcast clouds,-1.5746,9.2618,Hotel Olako
390,Esna,EG,78.82,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
404,San Angelo,US,77.22,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
406,Kloulklubed,PW,82.36,broken clouds,7.0419,134.2556,Storyboard Beach Resort
407,Benguela,AO,76.86,light rain,-12.5763,13.4055,Hotel Praia Morena
409,Tahoua,NE,81.16,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
416,San Pedro,PH,83.43,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
417,Karratha,AU,89.55,few clouds,-20.7377,116.8463,ibis Styles Karratha
418,Tutoia,BR,78.67,overcast clouds,-2.7619,-42.2744,Pousada Guará's
420,Tabou,CI,76.93,moderate rain,4.423,-7.3528,hotêl doufoulougou
422,Malkangiri,IN,80.44,broken clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
423,Takoradi,GH,76.1,light rain,4.8845,-1.7554,Raybow International Hotel
425,Maroantsetra,MG,75.16,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
427,Rabak,SD,86.61,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
429,Svay Rieng,KH,82.81,overcast clouds,11.0879,105.7993,Apsara guesthouse
435,Mongo,TD,84.9,clear sky,12.1844,18.693,Résidences du Programme FIDA
436,Taraza,CO,76.77,overcast clouds,7.5836,-75.4007,Hotel Monteverde
438,Buala,SB,82.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
444,Paka,MY,80.53,thunderstorm,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
446,Azare,NG,80.94,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
448,Abhaynagar,BD,81.05,overcast clouds,23.0129,89.4049,MD. ARAFAT HOSSAIN
449,Tarakan,ID,79.23,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
450,Mahibadhoo,MV,83.7,overcast clouds,3.7833,72.9667,Omadhoo Inn
452,Alice Springs,AU,83.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
457,Batticaloa,LK,78.93,scattered clouds,7.7102,81.6924,Grand Star Guest House
458,Kalmunai,LK,78.78,few clouds,7.4167,81.8167,VS Villa
460,Bonthe,SL,77.79,few clouds,7.5264,-12.505,Bonthe Holiday Village
462,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
464,Sri Aman,MY,78.85,few clouds,1.2376,111.4621,Seri Simanggang Hotel
465,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
467,Amarwara,IN,80.37,clear sky,22.3,79.1667,Prasiya Chat Bhandaar Amareara
470,Gorontalo,ID,81.36,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
476,Lumphat,KH,79.36,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
479,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
484,Cockburn Town,TC,77.49,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
485,Sorong,ID,82.96,broken clouds,-0.8833,131.25,Waigo Splash Hotel
486,Vao,NC,76.69,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
487,Tautira,PF,79.92,light rain,-17.7333,-149.15,Pension Oaoa
490,Portmore,JM,82.36,scattered clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
491,Bontang,ID,80.38,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
499,Cravo Norte,CO,76.96,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
501,Morondava,MG,78.04,clear sky,-20.2833,44.2833,La Case Bambou
508,Charters Towers,AU,78.94,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
510,Sulphur Springs,US,76.71,overcast clouds,33.1385,-95.6011,Clarion Pointe Sulphur Springs
518,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
520,Anloga,GH,82.33,broken clouds,5.7947,0.8973,Pin Drop Hotel
522,Kot Kapura,IN,77.74,broken clouds,30.5833,74.9,Dr. Darshan Lal
526,Axim,GH,75.27,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
530,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
538,Labuhan,ID,82.58,scattered clouds,-6.8844,112.2051,DoubleFAG
540,Kouroussa,GN,80.11,moderate rain,10.65,-9.8833,Hotel Paillote
541,Alyangula,AU,85.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
545,Ahuimanu,US,83.91,moderate rain,21.4447,-157.8378,Paradise Bay Resort
546,Luganville,VU,84.9,broken clouds,-15.5333,167.1667,The Espiritu Hotel
550,Tamugan,PH,76.44,broken clouds,7.2308,125.3764,Heavenly Farms
552,Singkang,MY,79.34,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
557,San Juan Evangelista,MX,85.44,clear sky,17.9,-95.1333,Salon INAPAM San Juan Evangelista
563,Ormara,PK,79.66,clear sky,25.2088,64.6357,Kenara Colony house for Rent
566,Tevaitoa,PF,81.48,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
567,Nhulunbuy,AU,77.61,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
569,Sur,OM,86.25,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
572,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
573,Dingle,PH,82.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
583,Haapiti,PF,87.53,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
585,Noumea,NC,82.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
602,Bitung,ID,79.65,light rain,1.4451,125.1824,K2 Lembeh
613,Salumbar,IN,78.76,clear sky,24.1333,74.05,chatra chaya guest house
616,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
618,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
619,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
620,Demerval Lobao,BR,76.41,overcast clouds,-5.3583,-42.6764,Pousada Da Paz
621,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
622,Hobyo,SO,82.53,clear sky,5.3505,48.5268,Iftin hotel hobyo
624,Bacolod,PH,83.62,overcast clouds,10.6667,122.95,Planta Hotel & Residences
628,Bhadrachalam,IN,82.38,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
630,Samana,DO,75.16,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
634,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
640,Kavaratti,IN,83.88,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
642,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
645,Belmonte,BR,76.75,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
647,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
648,Sola,VU,88.47,few clouds,-13.8833,167.55,Leumerus Bungalows
649,Dicabisagan,PH,79.68,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
650,Mazatlan,MX,87.76,broken clouds,23.2167,-106.4167,Hotel La Siesta
653,Gusau,NG,86.05,overcast clouds,12.1628,6.6614,GUEST INN
655,Thayetmyo,MM,85.44,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
657,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
662,Flinders,AU,75.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
665,Angoche,MZ,78.19,light rain,-16.2325,39.9086,Guest House HESADA
670,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
676,Puerto Carreno,CO,81.16,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
680,Alofi,NU,87.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
683,Kirakira,SB,85.86,overcast clouds,-10.4544,161.9205,SanBiz Lodge
